event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
36,total,0,0,1,WRFrain_noPGW_HPE36.mat,WRFrain_PGW_V3_HPE36.mat,22.18550542,18.72326588,-3.46223954,0.843941372,mm
37,total,0,0,1,WRFrain_noPGW_HPE37.mat,WRFrain_PGW_V3_HPE37.mat,9.817357635,7.350150912,-2.467206723,0.74868933,mm
38,total,0,0,1,WRFrain_noPGW_HPE38.mat,WRFrain_PGW_V3_HPE38.mat,9.718596617,3.569536173,-6.149060444,0.367289261,mm
39,total,0,0,1,WRFrain_noPGW_HPE39.mat,WRFrain_PGW_V3_HPE39.mat,5.441296907,1.636711005,-3.804585902,0.300794284,mm
40,total,0,0,1,WRFrain_noPGW_HPE40.mat,WRFrain_PGW_V3_HPE40.mat,4.518887811,2.394569117,-2.124318693,0.529902316,mm
41,total,0,0,1,WRFrain_noPGW_HPE41.mat,WRFrain_PGW_V3_HPE41.mat,39.41007762,40.17551737,0.765439755,1.019422437,mm
1,intensity,10,0,1,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,0.841965186,1.160235978,0.318270792,1.378009444,mm_per_hr
2,intensity,10,0,1,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,0.626361704,0.722113857,0.095752153,1.152870381,mm_per_hr
3,intensity,10,0,1,WRFrain_noPGW_HPE03.mat,WRFrain_PGW_V3_HPE03.mat,0.903965878,0.74884675,-0.155119128,0.828401567,mm_per_hr
4,intensity,10,0,1,WRFrain_noPGW_HPE04.mat,WRFrain_PGW_V3_HPE04.mat,0.691929831,0.82146447,0.129534639,1.187207768,mm_per_hr
5,intensity,10,0,1,WRFrain_noPGW_HPE05.mat,WRFrain_PGW_V3_HPE05.mat,0.084760169,0.039379941,-0.045380229,0.46460432,mm_per_hr
6,intensity,10,0,1,WRFrain_noPGW_HPE06.mat,WRFrain_PGW_V3_HPE06.mat,0.124532213,0.045761493,-0.07877072,0.367467115,mm_per_hr
7,intensity,10,0,1,WRFrain_noPGW_HPE07.mat,WRFrain_PGW_V3_HPE07.mat,0.355406446,0.509949647,0.154543201,1.434835109,mm_per_hr
8,intensity,10,0,1,WRFrain_noPGW_HPE08.mat,WRFrain_PGW_V3_HPE08.mat,0.571442783,0.452838906,-0.118603877,0.792448378,mm_per_hr
9,intensity,10,0,1,WRFrain_noPGW_HPE09.mat,WRFrain_PGW_V3_HPE09.mat,0.611756002,0.605229248,-0.006526754,0.989331116,mm_per_hr
10,intensity,10,0,1,WRFrain_noPGW_HPE10.mat,WRFrain_PGW_V3_HPE10.mat,0.869378014,0.974999497,0.105621482,1.12149086,mm_per_hr
11,intensity,10,0,1,WRFrain_noPGW_HPE11.mat,WRFrain_PGW_V3_HPE11.mat,0.210395611,0.145362449,-0.065033163,0.690900574,mm_per_hr
12,intensity,10,0,1,WRFrain_noPGW_HPE12.mat,WRFrain_PGW_V3_HPE12.mat,0.630610554,0.68621699,0.055606436,1.088178727,mm_per_hr
13,intensity,10,0,1,WRFrain_noPGW_HPE13.mat,WRFrain_PGW_V3_HPE13.mat,0.187796519,0.118905849,-0.06889067,0.633163223,mm_per_hr
14,intensity,10,0,1,WRFrain_noPGW_HPE14.mat,WRFrain_PGW_V3_HPE14.mat,0.802014769,0.62779021,-0.174224559,0.782766395,mm_per_hr
15,intensity,10,0,1,WRFrain_noPGW_HPE15.mat,WRFrain_PGW_V3_HPE15.mat,0.563371084,0.710894395,0.147523311,1.261858152,mm_per_hr
16,intensity,10,0,1,WRFrain_noPGW_HPE16.mat,WRFrain_PGW_V3_HPE16.mat,0.417334592,0.317165773,-0.10016882,0.759979591,mm_per_hr
17,intensity,10,0,1,WRFrain_noPGW_HPE17.mat,WRFrain_PGW_V3_HPE17.mat,0.459999987,0.489439776,0.02943979,1.063999544,mm_per_hr
18,intensity,10,0,1,WRFrain_noPGW_HPE18.mat,WRFrain_PGW_V3_HPE18.mat,0.392064083,0.286174399,-0.105889684,0.729917407,mm_per_hr
19,intensity,10,0,1,WRFrain_noPGW_HPE19.mat,WRFrain_PGW_V3_HPE19.mat,0.204780695,0.306768653,0.101987958,1.498035024,mm_per_hr
20,intensity,10,0,1,WRFrain_noPGW_HPE20.mat,WRFrain_PGW_V3_HPE20.mat,0.028488654,0.009126596,-0.019362058,0.32035897,mm_per_hr
21,intensity,10,0,1,WRFrain_noPGW_HPE21.mat,WRFrain_PGW_V3_HPE21.mat,0.031447961,0.014331893,-0.017116069,0.455733601,mm_per_hr
22,intensity,10,0,1,WRFrain_noPGW_HPE22.mat,WRFrain_PGW_V3_HPE22.mat,0.173825042,0.123756712,-0.05006833,0.711961353,mm_per_hr
23,intensity,10,0,1,WRFrain_noPGW_HPE23.mat,WRFrain_PGW_V3_HPE23.mat,0.388013359,0.280856551,-0.107156808,0.723832168,mm_per_hr
24,intensity,10,0,1,WRFrain_noPGW_HPE24.mat,WRFrain_PGW_V3_HPE24.mat,0.733277994,0.771888839,0.038610845,1.052655126,mm_per_hr
25,intensity,10,0,1,WRFrain_noPGW_HPE25.mat,WRFrain_PGW_V3_HPE25.mat,0.680252052,0.622429681,-0.057822372,0.914998608,mm_per_hr
26,intensity,10,0,1,WRFrain_noPGW_HPE26.mat,WRFrain_PGW_V3_HPE26.mat,0.272503751,0.254992792,-0.017510959,0.935740485,mm_per_hr
27,intensity,10,0,1,WRFrain_noPGW_HPE27.mat,WRFrain_PGW_V3_HPE27.mat,0.402138419,0.510548965,0.108410546,1.26958515,mm_per_hr
28,intensity,10,0,1,WRFrain_noPGW_HPE28.mat,WRFrain_PGW_V3_HPE28.mat,0.433211872,0.429930126,-0.003281746,0.992424616,mm_per_hr
29,intensity,10,0,1,WRFrain_noPGW_HPE29.mat,WRFrain_PGW_V3_HPE29.mat,0.322890187,0.165442641,-0.157447546,0.512380518,mm_per_hr
30,intensity,10,0,1,WRFrain_noPGW_HPE30.mat,WRFrain_PGW_V3_HPE30.mat,0.464146689,0.30467244,-0.159474249,0.656414118,mm_per_hr
31,intensity,10,0,1,WRFrain_noPGW_HPE31.mat,WRFrain_PGW_V3_HPE31.mat,0.202325796,0.188753518,-0.013572278,0.932918696,mm_per_hr
32,intensity,10,0,1,WRFrain_noPGW_HPE32.mat,WRFrain_PGW_V3_HPE32.mat,0.364179878,0.319479219,-0.044700659,0.877256649,mm_per_hr
33,intensity,10,0,1,WRFrain_noPGW_HPE33.mat,WRFrain_PGW_V3_HPE33.mat,0.382481229,0.56205667,0.179575441,1.469501319,mm_per_hr
34,intensity,10,0,1,WRFrain_noPGW_HPE34.mat,WRFrain_PGW_V3_HPE34.mat,0.55166278,0.592891532,0.041228753,1.074735425,mm_per_hr
35,intensity,10,0,1,WRFrain_noPGW_HPE35.mat,WRFrain_PGW_V3_HPE35.mat,0.504905959,0.57105165,0.066145691,1.131005962,mm_per_hr
36,intensity,10,0,1,WRFrain_noPGW_HPE36.mat,WRFrain_PGW_V3_HPE36.mat,0.787505153,0.874703641,0.087198489,1.110727515,mm_per_hr
37,intensity,10,0,1,WRFrain_noPGW_HPE37.mat,WRFrain_PGW_V3_HPE37.mat,0.911895602,0.776152534,-0.135743069,0.851141876,mm_per_hr
38,intensity,10,0,1,WRFrain_noPGW_HPE38.mat,WRFrain_PGW_V3_HPE38.mat,0.393139229,0.260008542,-0.133130687,0.661365039,mm_per_hr
39,intensity,10,0,1,WRFrain_noPGW_HPE39.mat,WRFrain_PGW_V3_HPE39.mat,0.308588801,0.12441828,-0.184170521,0.403184689,mm_per_hr
40,intensity,10,0,1,WRFrain_noPGW_HPE40.mat,WRFrain_PGW_V3_HPE40.mat,0.16213127,0.140207746,-0.021923524,0.864779176,mm_per_hr
41,intensity,10,0,1,WRFrain_noPGW_HPE41.mat,WRFrain_PGW_V3_HPE41.mat,1.44518107,2.003719243,0.558538173,1.386483179,mm_per_hr
1,intensity,20,0,1,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,0.840316104,1.154586385,0.314270281,1.373990549,mm_per_hr
2,intensity,20,0,1,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,0.619369703,0.719706953,0.10033725,1.161998964,mm_per_hr
3,intensity,20,0,1,WRFrain_noPGW_HPE03.mat,WRFrain_PGW_V3_HPE03.mat,0.903316447,0.739297474,-0.164018973,0.818425787,mm_per_hr
4,intensity,20,0,1,WRFrain_noPGW_HPE04.mat,WRFrain_PGW_V3_HPE04.mat,0.691669473,0.817308891,0.125639418,1.181646614,mm_per_hr
5,intensity,20,0,1,WRFrain_noPGW_HPE05.mat,WRFrain_PGW_V3_HPE05.mat,0.084575362,0.038506252,-0.04606911,0.455289235,mm_per_hr
6,intensity,20,0,1,WRFrain_noPGW_HPE06.mat,WRFrain_PGW_V3_HPE06.mat,0.124465276,0.0456174,-0.078847877,0.366507038,mm_per_hr
7,intensity,20,0,1,WRFrain_noPGW_HPE07.mat,WRFrain_PGW_V3_HPE07.mat,0.351492652,0.509086457,0.157593805,1.448355902,mm_per_hr
8,intensity,20,0,1,WRFrain_noPGW_HPE08.mat,WRFrain_PGW_V3_HPE08.mat,0.567511776,0.449942021,-0.117569755,0.792832924,mm_per_hr
9,intensity,20,0,1,WRFrain_noPGW_HPE09.mat,WRFrain_PGW_V3_HPE09.mat,0.607487032,0.604769547,-0.002717485,0.995526678,mm_per_hr
10,intensity,20,0,1,WRFrain_noPGW_HPE10.mat,WRFrain_PGW_V3_HPE10.mat,0.865390011,0.971117475,0.105727465,1.122173197,mm_per_hr
11,intensity,20,0,1,WRFrain_noPGW_HPE11.mat,WRFrain_PGW_V3_HPE11.mat,0.210221563,0.141397438,-0.068824126,0.672611483,mm_per_hr
12,intensity,20,0,1,WRFrain_noPGW_HPE12.mat,WRFrain_PGW_V3_HPE12.mat,0.625792076,0.682518414,0.056726339,1.090647263,mm_per_hr
13,intensity,20,0,1,WRFrain_noPGW_HPE13.mat,WRFrain_PGW_V3_HPE13.mat,0.185601469,0.115129212,-0.070472257,0.620303346,mm_per_hr
