event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-20000,20000.0,170919.4897438367,13.216708183288574,0.3571575618030274,1.16,6544.62,0.62,0.02,78.96,0.013,1.79,15981.799999999997,0.586,0.02,78.96,0.013,274796.975043275,49.280357360839844,0.42433303801266525,2.12,5161.8,0.775,0.06,159.8,0.019,7.04,29200.2,0.774,0.06,159.8,0.019
01,0,-19500,19500.0,174106.310231832,11.878565788269043,0.36046602358011853,0.67,3756.6900000000005,0.51,0.02,86.48,0.014,1.79,16654.199999999997,0.594,0.02,86.48,0.014,278654.8592437551,50.08831024169922,0.431081114747314,2.34,5422.2,0.792,0.07,165.44,0.019,7.55,29479.000000000004,0.78,0.07,165.44,0.019
01,0,-19000,19000.0,174102.01546187856,9.31425952911377,0.3620658572603925,0.64,3869.25,0.517,0.02,88.36,0.014,1.72,17170.8,0.6,0.02,88.36,0.014,279713.55481347785,51.14331817626953,0.44010509442285334,2.33,5511.8,0.795,0.08,171.08,0.019,7.75,30061.199999999997,0.787,0.08,171.08,0.019
01,0,-18500,18500.0,171682.55086849618,7.905008316040039,0.3612847039520215,0.63,4096.38,0.529,0.02,95.88,0.014,1.62,17548.0,0.605,0.02,95.88,0.014,277667.35812514304,53.41788101196289,0.4477854058746515,2.77,5910.8,0.808,0.1,180.48,0.02,7.79,30618.800000000003,0.793,0.1,180.48,0.02
01,0,-18000,18000.0,164355.67056496543,7.285153865814209,0.3562537264556609,0.39,3228.4,0.616,0.18,2532.53,0.043,1.5,17728.4,0.607,0.02,99.64,0.015,269143.7897965037,56.427276611328125,0.44991791506254636,2.85,5857.600000000001,0.806,0.11,182.36,0.02,7.51,31734.000000000004,0.797,0.11,182.36,0.02
01,0,-17500,17500.0,154331.30890474364,6.616780757904053,0.34723880703302995,0.33,3221.4,0.614,0.06,1083.36,0.069,1.36,17744.8,0.607,0.02,101.52,0.015,258568.08620420366,57.66250991821289,0.4501713980180704,3.19,5633.6,0.798,0.13,193.64,0.02,8.45,32726.199999999997,0.8,0.13,193.64,0.02
01,0,-17000,17000.0,139663.260732942,5.798620223999023,0.3307700992710131,0.31,3144.4,0.609,0.12,1647.03,0.033,1.19,17384.0,0.602,0.02,101.52,0.015,239192.0553650455,56.702274322509766,0.43573146594055673,3.07,5405.4,0.791,0.14,195.52,0.02,9.04,32513.0,0.798,0.14,195.52,0.02
01,0,-16500,16500.0,124074.44102890763,5.06362771987915,0.3111759304474168,0.22,2819.6,0.582,0.01,99.64,0.015,1.03,16769.0,0.594,0.01,99.64,0.015,222194.6561985548,55.83295822143555,0.42310011503186246,2.55,4421.2,0.752,0.14,188.0,0.02,9.51,32283.399999999998,0.795,0.14,188.0,0.02
