event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-12500,12500.0,80242.84744245077,4.378084659576416,0.2699225635853054,0.27,2410.2,0.387,0.01,60.16,0.015,0.47,5945.0,0.357,0.01,60.16,0.015,203535.34211782727,63.743961334228516,0.39454602580246323,8.74,9187.2,0.752,0.34,287.64,0.043,10.57,21623.4,0.737,0.34,287.64,0.043
01,0,-12000,12000.0,84352.5069986599,4.728899955749512,0.27934363953674435,0.28,2493.63,0.395,0.01,58.28,0.015,0.5,6010.6,0.36,0.01,58.28,0.015,209238.7669684699,65.28471374511719,0.40165657200783184,9.01,9601.9,0.755,0.35,287.64,0.043,11.08,21779.2,0.734,0.35,287.64,0.043
01,0,-11500,11500.0,89671.7519237017,5.075944423675537,0.29162021083389145,0.32,2619.76,0.394,0.01,58.28,0.015,0.56,6199.2,0.368,0.01,58.28,0.015,213612.63143505942,65.56962585449219,0.4073901437529334,9.03,9636.7,0.756,0.36,293.28,0.042,11.42,21787.4,0.729,0.36,293.28,0.042
01,0,-11000,11000.0,95967.86077228223,5.430395126342773,0.30514740032886206,0.34,2656.9399999999996,0.398,0.01,58.28,0.015,0.59,6568.2,0.379,0.01,58.28,0.015,219492.95344516804,66.19056701660156,0.4190651352816143,6.12,6253.11,0.747,0.37,295.16,0.042,11.78,22181.0,0.727,0.37,295.16,0.042
01,0,-10500,10500.0,102845.84949663945,5.805186748504639,0.31919420775519086,0.42,3125.98,0.437,0.01,63.92000000000001,0.016,0.6,6986.4,0.391,0.01,63.92000000000001,0.016,227669.43157040642,66.7548828125,0.4364389798138443,6.18,6436.020000000001,0.749,3.39,9899.89,0.142,12.0,22492.6,0.726,0.39,310.2,0.043
01,0,-10000,10000.0,110025.86880177647,6.526630878448486,0.33288935579790974,0.43,3208.92,0.443,0.01,67.68,0.016,0.62,7560.400000000001,0.411,0.01,67.68,0.016,233819.5017666461,66.50447082519531,0.45600785522121023,5.81,6339.54,0.743,2.86,9067.52,0.136,11.61,22681.2,0.725,0.39,313.96,0.043
01,0,-9500,9500.0,117075.39164205911,7.275791168212891,0.34506316329449477,0.4,2811.78,0.443,0.01,82.72,0.019,0.64,8068.8,0.428,0.01,82.72,0.019,239353.7160418494,65.95159912109375,0.47706514261465094,4.94,6132.51,0.733,2.22,8040.34,0.129,10.97,22730.4,0.724,0.39,319.6,0.043
01,0,-9000,9000.0,124250.42402320325,7.9048919677734375,0.3566118201055802,0.46,3042.92,0.461,0.01,88.36,0.02,0.67,8405.0,0.439,0.01,88.36,0.02,238591.91396280457,62.48048400878906,0.49283839035985233,9.16,12423.6,0.727,1.66,6924.61,0.12,9.46,22025.2,0.714,0.39,321.48,0.043
01,0,-8500,8500.0,131675.11705581663,8.281106948852539,0.36762942780156455,0.45,2462.4,0.456,0.01,95.88,0.021,0.73,8675.6,0.448,0.01,95.88,0.021,236183.2221026324,58.5873908996582,0.5080130425100919,3.42,5939.55,0.725,1.09,5773.46,0.109,8.06,21369.2,0.706,0.33,317.72,0.043
01,0,-8000,8000.0,140439.87220407464,8.38994312286377,0.37973990905141747,0.46,2566.08,0.465,0.01,97.76,0.022,0.85,9192.2,0.463,0.01,97.76,0.022,223042.61272154588,48.07707214355469,0.5016439481645163,6.27,11987.04,0.718,0.84,5100.48,0.102,7.28,21016.6,0.702,0.32,315.84,0.044
01,0,-7500,7500.0,150541.8267186304,8.278458595275879,0.3934696719462434,0.51,2846.88,0.489,0.02,105.28000000000002,0.023,0.95,9856.4,0.481,0.02,105.28000000000002,0.023,210844.6405835029,40.72330093383789,0.4965800980945458,9.53,26021.29,0.696,0.78,4498.34,0.094,6.5,20647.6,0.697,0.24,313.96,0.044
01,0,-7000,7000.0,162472.53254768625,8.26943588256836,0.40802535392458156,0.66,5305.3,0.571,0.02,109.03999999999999,0.023,1.01,10676.4,0.499,0.02,109.03999999999999,0.023,193550.35675613402,32.18464279174805,0.4756515297132493,3.37,10587.6,0.687,0.76,4427.5,0.093,5.37,19712.8,0.684,0.22,312.08,0.044
