event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-14500,14500.0,29676.936381780164,1.2734299898147583,0.09464198664005143,0.08,767.82,0.143,0.0,31.960000000000004,0.006,0.26,4091.8,0.196,0.0,31.960000000000004,0.006,80649.89163873554,34.09563446044922,0.1653597845830234,3.09,3314.36,0.23,0.06,65.8,0.009,4.02,9749.8,0.316,0.06,65.8,0.009
01,0,-14000,14000.0,26685.643373203653,1.1775935888290405,0.08795960387674956,0.07,691.44,0.135,0.0,28.2,0.005,0.21,3312.8,0.173,0.0,28.2,0.005,80579.51975347701,36.20624542236328,0.16323271198283706,3.39,3527.96,0.233,0.06,62.04,0.009,4.41,9421.8,0.314,0.06,62.04,0.009
01,0,-13500,13500.0,25187.006160268807,1.1700186729431152,0.08501465923347477,0.11,1022.79,0.163,0.0,18.8,0.004,0.19,2820.8,0.159,0.0,18.8,0.004,80169.30818644242,37.34428787231445,0.16020105254541442,3.57,3663.2399999999993,0.235,0.07,58.28,0.009,4.87,9208.6,0.314,0.07,58.28,0.009
01,0,-13000,13000.0,24867.102898495086,1.2751656770706177,0.08406450466454107,0.13,1004.25,0.163,0.0,15.04,0.004,0.21,2665.0,0.156,0.0,15.04,0.004,81199.60014704976,38.93340301513672,0.15968684918227535,3.65,3780.7199999999993,0.235,0.07,56.4,0.009,5.28,9257.8,0.315,0.07,56.4,0.009
01,0,-12500,12500.0,25426.11459080801,1.387831211090088,0.08552889448853068,0.13,1022.79,0.164,0.0,13.160000000000002,0.003,0.24,2607.6,0.156,0.0,13.160000000000002,0.003,82149.25751523225,39.76057434082031,0.15924341560540775,3.7,3862.6,0.236,0.07,58.28,0.009,5.61,9257.8,0.315,0.07,58.28,0.009
01,0,-12000,12000.0,26677.59794874851,1.501116394996643,0.08834612710704362,0.12,1059.87,0.168,0.0,13.160000000000002,0.003,0.25,2632.2,0.158,0.0,13.160000000000002,0.003,83597.58705599394,40.53215408325195,0.1604746612280343,3.09,2995.7,0.236,0.07,56.4,0.008,5.86,9323.4,0.314,0.07,56.4,0.008
01,0,-11500,11500.0,28295.494734928492,1.6202934980392456,0.09201937023902504,0.13,1109.31,0.171,0.0,50.260000000000005,0.006,0.26,2706.0,0.16,0.0,13.160000000000002,0.003,84996.30754929135,40.88965606689453,0.16210023591934086,3.1,3007.3,0.236,0.07,58.28,0.008,6.03,9331.6,0.312,0.07,58.28,0.008
01,0,-11000,11000.0,30184.45003333378,1.76312255859375,0.09597699046229552,0.38,3269.88,0.161,0.0,50.260000000000005,0.006,0.28,2861.8,0.165,0.0,13.160000000000002,0.003,86000.24582760697,40.174232482910156,0.16419526953516234,2.06,1943.67,0.232,0.07,60.16,0.009,6.23,9503.8,0.312,0.07,60.16,0.009
01,0,-10500,10500.0,32217.692764753174,1.913440227508545,0.09999140430145954,0.14,646.3599999999999,0.09,0.0,13.160000000000002,0.003,0.29,3042.2,0.17,0.0,13.160000000000002,0.003,86777.7651093565,38.5831184387207,0.16635171008076563,2.09,1999.9499999999998,0.233,0.08,63.92000000000001,0.009,6.35,9635.0,0.311,0.08,63.92000000000001,0.009
01,0,-10000,10000.0,34388.46892509092,2.0890538692474365,0.10404421607407588,0.16,974.7,0.144,0.0,15.04,0.003,0.3,3288.2,0.179,0.0,15.04,0.003,85288.86307774126,34.19825744628906,0.16633510563695927,1.98,1967.7899999999997,0.231,0.08,65.8,0.009,6.16,9708.8,0.311,0.08,65.8,0.009
01,0,-9500,9500.0,36460.262210369256,2.2398743629455566,0.10746146766112555,0.17,932.18,0.147,0.0,16.92,0.004,0.31,3509.6,0.186,0.0,16.92,0.004,83719.54383436166,30.54151153564453,0.16686465862928185,1.73,1903.4700000000003,0.227,0.6,1682.45,0.027,5.83,9733.4,0.31,0.08,63.92000000000001,0.009
01,0,-9000,9000.0,38607.72992622266,2.359222888946533,0.11080825636911971,0.24,1421.4,0.197,0.0,18.8,0.004,0.33,3649.0,0.191,0.0,18.8,0.004,80261.29708784012,25.52358627319336,0.16578872187232468,1.58,1883.3699999999997,0.227,0.04,150.48,0.036,5.05,9438.2,0.306,0.08,63.92000000000001,0.009
01,0,-8500,8500.0,40835.24527879544,2.4212191104888916,0.11400967921385231,0.28,1517.19,0.203,0.0,20.68,0.004,0.4,3763.8,0.194,0.0,20.68,0.004,76613.13708012865,20.881546020507812,0.16478932126434528,1.25,1859.25,0.227,0.34,1239.7,0.023,4.31,9151.2,0.303,0.07,63.92000000000001,0.009
