event_id,scenario,threshold_mm_per_hr,event_file,mean_wet_fraction,units
4,future,5,WRFrain_PGW_V3_HPE04.mat,0.0958119658119658,fraction
4,historical,7.5,WRFrain_noPGW_HPE04.mat,0.0506021756021756,fraction
4,future,7.5,WRFrain_PGW_V3_HPE04.mat,0.0688034188034188,fraction
4,historical,10,WRFrain_noPGW_HPE04.mat,0.0328282828282828,fraction
4,future,10,WRFrain_PGW_V3_HPE04.mat,0.0511965811965812,fraction
4,historical,20,WRFrain_noPGW_HPE04.mat,0.00786713286713287,fraction
4,future,20,WRFrain_PGW_V3_HPE04.mat,0.015042735042735,fraction
4,historical,50,WRFrain_noPGW_HPE04.mat,0.000582750582750583,fraction
4,future,50,WRFrain_PGW_V3_HPE04.mat,0.000683760683760684,fraction
4,historical,60,WRFrain_noPGW_HPE04.mat,0,fraction
4,future,60,WRFrain_PGW_V3_HPE04.mat,0.000170940170940171,fraction
4,historical,80,WRFrain_noPGW_HPE04.mat,0,fraction
4,future,80,WRFrain_PGW_V3_HPE04.mat,0,fraction
4,historical,100,WRFrain_noPGW_HPE04.mat,0,fraction
4,future,100,WRFrain_PGW_V3_HPE04.mat,0,fraction
5,historical,0.1,WRFrain_noPGW_HPE05.mat,0.00267094017094017,fraction
5,future,0.1,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,1,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,1,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,2,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,2,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,5,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,5,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,7.5,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,7.5,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,10,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,10,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,20,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,20,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,50,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,50,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,60,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,60,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,80,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,80,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,100,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,100,WRFrain_PGW_V3_HPE05.mat,0,fraction
6,historical,0.1,WRFrain_noPGW_HPE06.mat,0.00150829562594268,fraction
6,future,0.1,WRFrain_PGW_V3_HPE06.mat,0.00641025641025641,fraction
6,historical,1,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,1,WRFrain_PGW_V3_HPE06.mat,0.000949667616334283,fraction
6,historical,2,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,2,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,5,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,5,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,7.5,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,7.5,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,10,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,10,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,20,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,20,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,50,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,50,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,60,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,60,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,80,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,80,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,100,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,100,WRFrain_PGW_V3_HPE06.mat,0,fraction
7,historical,0.1,WRFrain_noPGW_HPE07.mat,0.0843195266272189,fraction
7,future,0.1,WRFrain_PGW_V3_HPE07.mat,0.14086127547666,fraction
7,historical,1,WRFrain_noPGW_HPE07.mat,0.0356673241288626,fraction
7,future,1,WRFrain_PGW_V3_HPE07.mat,0.0839907955292571,fraction
7,historical,2,WRFrain_noPGW_HPE07.mat,0.0210387902695595,fraction
7,future,2,WRFrain_PGW_V3_HPE07.mat,0.0627876397107166,fraction
7,historical,5,WRFrain_noPGW_HPE07.mat,0.00772518080210388,fraction
7,future,5,WRFrain_PGW_V3_HPE07.mat,0.0290927021696252,fraction
7,historical,7.5,WRFrain_noPGW_HPE07.mat,0.00394477317554241,fraction
7,future,7.5,WRFrain_PGW_V3_HPE07.mat,0.0157790927021696,fraction
7,historical,10,WRFrain_noPGW_HPE07.mat,0.00213675213675214,fraction
7,future,10,WRFrain_PGW_V3_HPE07.mat,0.0101906640368179,fraction
7,historical,20,WRFrain_noPGW_HPE07.mat,0.000493096646942801,fraction
7,future,20,WRFrain_PGW_V3_HPE07.mat,0.002465483234714,fraction
7,historical,50,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,50,WRFrain_PGW_V3_HPE07.mat,0,fraction
7,historical,60,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,60,WRFrain_PGW_V3_HPE07.mat,0,fraction
7,historical,80,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,80,WRFrain_PGW_V3_HPE07.mat,0,fraction
7,historical,100,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,100,WRFrain_PGW_V3_HPE07.mat,0,fraction
8,historical,0.1,WRFrain_noPGW_HPE08.mat,0.128205128205128,fraction
8,future,0.1,WRFrain_PGW_V3_HPE08.mat,0.0412820512820513,fraction
8,historical,1,WRFrain_noPGW_HPE08.mat,0.051025641025641,fraction
8,future,1,WRFrain_PGW_V3_HPE08.mat,0.0155555555555556,fraction
8,historical,2,WRFrain_noPGW_HPE08.mat,0.0369230769230769,fraction
8,future,2,WRFrain_PGW_V3_HPE08.mat,0.0112820512820513,fraction
8,historical,5,WRFrain_noPGW_HPE08.mat,0.0206837606837607,fraction
8,future,5,WRFrain_PGW_V3_HPE08.mat,0.00598290598290598,fraction
8,historical,7.5,WRFrain_noPGW_HPE08.mat,0.0156410256410256,fraction
8,future,7.5,WRFrain_PGW_V3_HPE08.mat,0.00384615384615385,fraction
8,historical,10,WRFrain_noPGW_HPE08.mat,0.0113675213675214,fraction
8,future,10,WRFrain_PGW_V3_HPE08.mat,0.00256410256410256,fraction
8,historical,20,WRFrain_noPGW_HPE08.mat,0.00487179487179487,fraction
8,future,20,WRFrain_PGW_V3_HPE08.mat,0.000256410256410256,fraction
8,historical,50,WRFrain_noPGW_HPE08.mat,8.54700854700855e-05,fraction
8,future,50,WRFrain_PGW_V3_HPE08.mat,0,fraction
8,historical,60,WRFrain_noPGW_HPE08.mat,0,fraction
8,future,60,WRFrain_PGW_V3_HPE08.mat,0,fraction
8,historical,80,WRFrain_noPGW_HPE08.mat,0,fraction
8,future,80,WRFrain_PGW_V3_HPE08.mat,0,fraction
8,historical,100,WRFrain_noPGW_HPE08.mat,0,fraction
8,future,100,WRFrain_PGW_V3_HPE08.mat,0,fraction
9,historical,0.1,WRFrain_noPGW_HPE09.mat,0.261060834590246,fraction
9,future,0.1,WRFrain_PGW_V3_HPE09.mat,0.179989944695827,fraction
9,historical,1,WRFrain_noPGW_HPE09.mat,0.144670688788336,fraction
9,future,1,WRFrain_PGW_V3_HPE09.mat,0.0882352941176471,fraction
9,historical,2,WRFrain_noPGW_HPE09.mat,0.0933886375062846,fraction
9,future,2,WRFrain_PGW_V3_HPE09.mat,0.063097033685269,fraction
9,historical,5,WRFrain_noPGW_HPE09.mat,0.0403469079939668,fraction
9,future,5,WRFrain_PGW_V3_HPE09.mat,0.0326797385620915,fraction
9,historical,7.5,WRFrain_noPGW_HPE09.mat,0.021744595274007,fraction
9,future,7.5,WRFrain_PGW_V3_HPE09.mat,0.0227501256913022,fraction
9,historical,10,WRFrain_noPGW_HPE09.mat,0.0150829562594268,fraction
9,future,10,WRFrain_PGW_V3_HPE09.mat,0.0182252388134741,fraction
9,historical,20,WRFrain_noPGW_HPE09.mat,0.00439919557566616,fraction
9,future,20,WRFrain_PGW_V3_HPE09.mat,0.00666163901458019,fraction
9,historical,50,WRFrain_noPGW_HPE09.mat,0.000502765208647562,fraction
9,future,50,WRFrain_PGW_V3_HPE09.mat,0.000502765208647562,fraction
9,historical,60,WRFrain_noPGW_HPE09.mat,0,fraction
9,future,60,WRFrain_PGW_V3_HPE09.mat,0.000251382604323781,fraction
9,historical,80,WRFrain_noPGW_HPE09.mat,0,fraction
9,future,80,WRFrain_PGW_V3_HPE09.mat,0.00012569130216189,fraction
9,historical,100,WRFrain_noPGW_HPE09.mat,0,fraction
9,future,100,WRFrain_PGW_V3_HPE09.mat,0,fraction
10,historical,0.1,WRFrain_noPGW_HPE10.mat,0.282342657342657,fraction
10,future,0.1,WRFrain_PGW_V3_HPE10.mat,0.251359751359751,fraction
10,historical,1,WRFrain_noPGW_HPE10.mat,0.151320901320901,fraction
10,future,1,WRFrain_PGW_V3_HPE10.mat,0.156080031080031,fraction
10,historical,2,WRFrain_noPGW_HPE10.mat,0.100815850815851,fraction
10,future,2,WRFrain_PGW_V3_HPE10.mat,0.11470473970474,fraction
10,historical,5,WRFrain_noPGW_HPE10.mat,0.0377816627816628,fraction
10,future,5,WRFrain_PGW_V3_HPE10.mat,0.057983682983683,fraction
10,historical,7.5,WRFrain_noPGW_HPE10.mat,0.0216588966588967,fraction
10,future,7.5,WRFrain_PGW_V3_HPE10.mat,0.0385586635586636,fraction
10,historical,10,WRFrain_noPGW_HPE10.mat,0.0135975135975136,fraction
10,future,10,WRFrain_PGW_V3_HPE10.mat,0.0255439005439005,fraction
10,historical,20,WRFrain_noPGW_HPE10.mat,0.00116550116550117,fraction
10,future,20,WRFrain_PGW_V3_HPE10.mat,0.00699300699300699,fraction
10,historical,50,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,50,WRFrain_PGW_V3_HPE10.mat,0.000388500388500389,fraction
10,historical,60,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,60,WRFrain_PGW_V3_HPE10.mat,0.000194250194250194,fraction
10,historical,80,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,80,WRFrain_PGW_V3_HPE10.mat,0,fraction
10,historical,100,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,100,WRFrain_PGW_V3_HPE10.mat,0,fraction
11,historical,0.1,WRFrain_noPGW_HPE11.mat,0.168233618233618,fraction
11,future,0.1,WRFrain_PGW_V3_HPE11.mat,0.0407407407407407,fraction
11,historical,1,WRFrain_noPGW_HPE11.mat,0.093019943019943,fraction
11,future,1,WRFrain_PGW_V3_HPE11.mat,0.0148148148148148,fraction
11,historical,2,WRFrain_noPGW_HPE11.mat,0.0562678062678063,fraction
11,future,2,WRFrain_PGW_V3_HPE11.mat,0.010968660968661,fraction
11,historical,5,WRFrain_noPGW_HPE11.mat,0.0168091168091168,fraction
11,future,5,WRFrain_PGW_V3_HPE11.mat,0.00498575498575499,fraction
11,historical,7.5,WRFrain_noPGW_HPE11.mat,0.00911680911680912,fraction
11,future,7.5,WRFrain_PGW_V3_HPE11.mat,0.00256410256410256,fraction
11,historical,10,WRFrain_noPGW_HPE11.mat,0.00626780626780627,fraction
11,future,10,WRFrain_PGW_V3_HPE11.mat,0.00185185185185185,fraction
11,historical,20,WRFrain_noPGW_HPE11.mat,0.000997150997150997,fraction
11,future,20,WRFrain_PGW_V3_HPE11.mat,0,fraction
11,historical,50,WRFrain_noPGW_HPE11.mat,0,fraction
