time,max_dischrge_[cms]
40921.77292,37.32
41280.26389,36.41
42284.15556,13.92
42302.40972,28.71
42304.28333,24.97
42305.51667,41.62
42315.08333,31.78
42352.33889,16.77
42356.76667,32.82
42377.79167,33.6
42705.99514,16.33
42717.90347,13.11
42723.69792,28.84
43105.54583,21.76
43125.41806,19.1
43126.38194,23.51
43144.22572,13.4
43420.20556,19.1
43441.88228,31.21
43506.53193,16.76
43812.04034,26.74
43826.4445,29.07
43849.157,32.83
