event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
1,intensity,240,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,3.29762564765082,4.24157672458225,0.943951076931424,1.28625173921845,mm_per_hr
1,intensity,360,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.85530948601546,2.38840819613438,0.533098710118915,1.28733681045518,mm_per_hr
1,intensity,360,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,2.46123298009237,3.4892676671346,1.02803468704224,1.41769092782255,mm_per_hr
1,intensity,360,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,2.65993936856588,3.39810681343079,0.738167444864909,1.27751288378535,mm_per_hr
1,intensity,360,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,2.65164087436817,3.23547850714789,0.583837632779722,1.22017975300627,mm_per_hr
1,intensity,720,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.22828025229921,1.27729698455072,0.0490167322515072,1.03990679827324,mm_per_hr
1,intensity,720,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.57224647204081,1.83632906277974,0.264082590738932,1.16796513487872,mm_per_hr
1,intensity,720,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.58703404664993,1.77888774871826,0.191853702068329,1.12088820808433,mm_per_hr
1,intensity,720,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.63770652700354,1.69542813301086,0.0577216060073287,1.03524539046256,mm_per_hr
1,intensity,1440,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,0.905863101680762,1.23234193992486,0.3264788382441,1.36040637667915,mm_per_hr
1,intensity,1440,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.07922896742821,1.51652463295704,0.437295665528836,1.40519266877251,mm_per_hr
1,intensity,1440,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.10319115469853,1.50890394013102,0.405712785432494,1.36776290645964,mm_per_hr
1,intensity,1440,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,1.14683125857954,1.49812955167912,0.351298293099582,1.30632082136887,mm_per_hr
2,total,0,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,149.677201838673,142.81042873849,-6.86677310018285,0.954122785462117,mm
2,total,0,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,170.941346334293,165.16195486713,-5.7793914671638,0.966190792391084,mm
2,total,0,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,175.294751596637,170.913807296965,-4.38094429967168,0.97500812625724,mm
2,total,0,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,178.85863683828,172.480150823236,-6.3784860150449,0.964337836138088,mm
2,intensity,10,Raanana Basin,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,17.6916875570172,25.812285638715,8.12059808169787,1.45900641504812,mm_per_hr
2,intensity,10,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,39.4056701660156,64.5750045776367,25.1693344116211,1.63872367366379,mm_per_hr
2,intensity,10,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,35.8578758239746,61.5294256210327,25.6715497970581,1.71592500133246,mm_per_hr
2,intensity,10,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,33.2754465738932,56.9459686279297,23.6705220540365,1.71135099574013,mm_per_hr
